csf_subcategory_id,name,count,max_severity,weighted_score
PR.AA-01,Identities and credentials are managed,1,high,5.54
PR.AA-03,Remote access is managed,1,high,4.43
DE.CM-08,Vulnerability scans are performed,1,medium,4.04
ID.RA-05,External information systems are cataloged,1,high,3.69
PR.IR-01,Communications and control networks are protected,1,medium,3.23
PR.DS-10,Integrity checking mechanisms are used,1,medium,2.69
PR.DS-01,Data-at-rest is protected,1,low,1.69
ID.AM-02,Assets and systems inventoried,1,info,0.83
